case_id,unit_id,source_text,eligible,detected,correct,placed,observed_text,notes
menu_ru,ru001,ЗАКУСКИ,1,0,0,0,,h≈18px heading; no OCR region/card in v2
menu_ru,ru002,Набор брускетт,1,1,0,0,", BBF will accelerate,",h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru003,"/рыба, мясо, печенные овощи/",1,0,0,0,,h≈9px small; no OCR region/card in v2
menu_ru,ru004,Антипасти рыбное,1,0,0,0,,h≈13px body; no OCR region/card in v2 (v1 had a region)
menu_ru,ru005,Антипасти мясное,1,0,0,0,,h≈13px body; no OCR region/card in v2
menu_ru,ru006,Антипасти сырное,1,1,0,0,Amphipasta raw,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru007,Вителло Тонато,1,1,0,0,Vitel,h≈13px body; truncated; card taller than line pitch; hides neighbouring lines
menu_ru,ru008,Аджапсандали,1,0,0,0,,h≈13px body; no OCR region/card in v2 (v1 had a region)
menu_ru,ru009,Паштет из куриной печени,1,1,1,0,"Chicken liver pate,",h≈13px body; only 'pate' visible
menu_ru,ru010,САЛАТЫ,1,1,1,1,Salads,h≈18px heading; new in v2; BORDERLINE placement: card edges touch neighbouring cards
menu_ru,ru011,Салат с уткой и винной грушей,1,1,1,0,Salad with duck and wine pear,h≈13px body; v2 reading clean; clipped; covers next line
menu_ru,ru012,Сельдь под шубой,1,0,0,0,,h≈13px body; no OCR region/card in v2
menu_ru,ru013,Цезарь с креветками,1,0,0,0,,h≈13px body; no OCR region/card in v2
menu_ru,ru014,Цезарь с курицей,1,1,1,0,Caesar with chicken.,h≈13px body; v2 reading correct (v1 'Cese'); clipped
menu_ru,ru015,Греческий с крымским луком и орехами,1,1,0,0,RECOME WITH THE Crimean Onion and Orfids ...,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru016,Салат с томленой свининой,1,1,0,0,Salket with tomlar seven,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru017,СУПЫ,1,0,0,0,,h≈18px heading; no OCR region/card in v2
menu_ru,ru018,Борщ с говядиной и густой сметаной,1,1,1,0,Borsch with beef and sour cream,h≈13px body; card hidden under next card
menu_ru,ru019,Томленые щи из квашеной капусты,1,1,0,0,Tomlar soup from Sayash but Iva Sl.,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru020,Свекольник рыбный с красной фасолью,1,1,0,0,Fish ring with a row to the race,h≈13px body; detected in v2 (v1 missed); card taller than line pitch; hides neighbouring lines
menu_ru,ru021,Минестроне на курином бульоне,1,1,0,0,Ming EstrS M is not on Caoin 6 Pupitsa.,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru022,Суп-гуляш из говядины,1,0,0,0,,h≈13px body; no OCR region/card in v2
menu_ru,ru023,Том-ям с креветками,1,1,1,0,Tom-yam with shrimp,h≈13px body; clipped to 'Tom-yam with'
menu_ru,ru024,ПАСТА / ПИЦЦЫ,1,1,1,0,Pasta / Pizza,h≈18px heading; card hidden under neighbouring cards
menu_ru,ru025,Спагетти болоньезе,1,1,1,0,Spaghetti boponese,h≈13px body; BORDERLINE correct (boponese); clipped
menu_ru,ru026,Фетучини карбонара,1,1,0,0,PHOTS LEYS CORBONAR,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru027,Пенне ала-аррабиата,1,0,0,0,,h≈13px body; no OCR region/card in v2 (v1 had a region)
menu_ru,ru028,Пицца маргарита,1,0,0,0,,h≈13px body; no OCR region/card in v2; source left visible
menu_ru,ru029,Пицца четыре сыра,1,0,0,0,,h≈13px body; no OCR region/card in v2
menu_ru,ru030,Пицца пепперони,1,1,1,0,Pizza Pepperoni:,h≈13px body; v2 reading correct; clipped to 'Pizza'
menu_ru,ru031,ХЛЕБ,1,0,0,0,,h≈18px heading; no OCR region/card in v2
menu_ru,ru032,Белый классический,1,1,1,0,White classic.,h≈13px body; BORDERLINE correct; covers the next line
menu_ru,ru033,Ржаной классический,1,0,0,0,,h≈13px body; no OCR region/card in v2 (v1 had a region)
menu_ru,ru034,Багет пшеничный,1,1,1,0,F Baguets Wheat,h≈13px body; BORDERLINE correct; clipped
menu_ru,ru035,МЯСО/ПТИЦА/РЫБА,1,1,1,1,Meat / bird / fish,h≈18px heading; readable; bottom edge touched by next card
menu_ru,ru036,Котлеты из щуки с пюре из батата,1,1,1,0,Pikeballs from pike with mashed potato,h≈13px body; BORDERLINE correct (sweet potato lost); clipped
menu_ru,ru037,Филе судака с картофельным гратеном,1,1,0,0,Pickup fillet with a potato grage,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru038,Котлеты из оленины с пюре из моркови,1,1,0,0,Cutlets: From the Openings with the Gurea of Carrot,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru039,Стейк из говядины с листьями и свежими,1,1,0,0,Steak is ridden with leaves and fresh,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru040,овощами,1,0,0,0,,h≈13px body; no OCR region/card in v2; continuation of steak line
menu_ru,ru041,Рулька свиная с тушеной капустой,1,1,0,0,Pork steering wheel with stewed cabbage,h≈13px body; card taller than line pitch; hides neighbouring lines
menu_ru,ru042,Ножка ягненка конфи с шафраном,1,1,0,0,Wine with infra,h≈13px body; partial region at the line's right half; ambiguous location
menu_ru,ru043,Таджин из ягненка,1,0,0,0,,h≈13px body; no OCR region/card in v2 (v1 had a region)
menu_ru,ru044,Шашлык из свинины с крымским луком,1,1,0,0,Swishl from the Om Om Pork Om # 88 and: 550,h≈13px body; card taller than line pitch; hides neighbouring lines
