case_id,category,source_language,source,app_or_surface,focus,artifact_status
menu_fr,image_menu,fr,study/menu_findings/source_french.webp,Google Photos,auto,legacy_pilot
menu_ru,image_menu,ru,study/menu_findings/source_russian.jpg,Google Photos,ru,legacy_pilot
menu_de,image_menu,de,study/menu_findings/source_german.jpg,Google Photos,auto,legacy_pilot
settings_ru,native_ui,ru,Russian Android Settings,com.android.settings,auto,to_capture
browser_es,browser,es,"Wikipedia es 'Café' rev 175479450 (2026-09-22), mobile: https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450",com.android.chrome,auto,to_capture
browser_ru,browser,ru,"Wikipedia ru 'Кофе' rev 153564774 (2026-06-16), mobile: https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774",com.android.chrome,ru,to_capture
chat_es,chat,es,Local fixed Spanish conversation,Messaging app,auto,cut (author decision 2026-09-23: not captured; excluded from protocol v1 results)
map_fr,map,fr,Fixed French map screenshot or offline map view,Map viewer,auto,cut (author decision 2026-09-23: not captured; excluded from protocol v1 results)
game_ru,game,ru,Fixed Cyrillic game UI screenshot,Game or image viewer,ru,cut (author decision 2026-09-23: not captured; excluded from protocol v1 results)
pdf_fr,pdf,fr,Fixed French one-page PDF,PDF viewer,auto,cut (author decision 2026-09-23: not captured; excluded from protocol v1 results)
english_control,native_ui,en,English Android Settings,com.android.settings,auto,to_capture
